MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
7273379;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Especialização;PA;Campus Belém;EBTT;Efetivo;Sim
7273423;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
7273425;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
7779268;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3570250;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3716595;320;D;2917;1504208;IFPA;DE;Marabá;1;Região Norte;RSC III;Mestrado;PA;Campus Marabá Rural;EBTT;Efetivo;Sim
3751420;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;-;Doutorado;PA;Campus Castanhal;EBTT;Efetivo;Sim
3779180;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3853691;43;E;13863;1501808;IFPA;40h;Breves;1;Região Norte;-;Mestrado;PA;Campus Breves;PCCTAE;Efetivo;Não
3894477;613;E;-;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Reitoria do Instituto Federal do Pará;PCCTAE;Efetivo;Não
3923609;16;D;32043;1500800;IFPA;DE;Ananindeua;1;Região Norte;RSC II;Especialização;PA;Campus Ananindeua;EBTT;Efetivo;Sim
3313715;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;-;Doutorado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
3313783;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;EBTT;Substituto/Temporario;Sim
3314495;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;EBTT;Substituto/Temporario;Sim
3314874;186;D;3522;1502707;IFPA;DE;Conceição do Araguaia;1;Região Norte;-;Mestrado;PA;Campus Conceição do Araguaia;EBTT;Efetivo;Sim
3315111;362;D;32357;1505502;IFPA;DE;Paragominas;1;Região Norte;-;Mestrado;PA;Campus Paragominas;EBTT;Efetivo;Sim
3315416;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;-;Doutorado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
3315735;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;-;Doutorado;PA;Campus Altamira;EBTT;Efetivo;Sim
3315757;320;D;2917;1504208;IFPA;40h;Marabá;1;Região Norte;-;Educação Básica;PA;Campus Marabá Rural;PCCTAE;Efetivo;Não
4356530;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
4356695;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3316033;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;EBTT;Substituto/Temporario;Sim
3316171;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;-;Mestrado;PA;Campus Altamira;EBTT;Efetivo;Sim
